question_id,intent,rewritten_intent,snippet
19035186,How to select element with Selenium Python xpath,,"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")"
25823608,Find matching rows in 2 dimensional numpy array,"find rows matching `(0,1)` in a 2 dimensional numpy array `vals`","np.where((vals == (0, 1)).all(axis=1))"
3805958,How to delete a record in Django models?,,SomeModel.objects.filter(id=id).delete()
6900955,python convert list to dictionary,"build a dictionary containing the conversion of each list in list `[['two', 2], ['one', 1]]` to a key/value pair as its items","dict([['two', 2], ['one', 1]])"
6900955,python convert list to dictionary,convert list `l` to dictionary having each two adjacent elements as key/value pair,"dict(zip(l[::2], l[1::2]))"
18224991,how to set global const variables in python,assign float 9.8 to variable `GRAVITY`,GRAVITY = 9.8
15103484,"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M""","separate numbers from characters in string ""30m1000n20m""","re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')"
15103484,"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M""",separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+|[A-Z])', '20M10000N80M')"
15103484,"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M""",separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+)([A-Z])', '20M10000N80M')"
7633274,"Extracting words from a string, removing punctuation and returning a list with separated words in Python","Get a list of  words from a string `Hello world, my name is...James the 2nd!` removing punctuation","re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')"
14295673,Convert string into datetime.time object,Convert string '03:55' into datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()"
28667684,Python Requests getting SSLerror,request url 'https://www.reporo.com/' without verifying SSL certificates,"requests.get('https://www.reporo.com/', verify=False)"
5927180,removing data from a numpy.array,Extract values not equal to 0 from numpy array `a`,a[a != 0]
209840,Map two lists into a dictionary in Python,map two lists `keys` and `values` into a dictionary,"new_dict = {k: v for k, v in zip(keys, values)}"
209840,Map two lists into a dictionary in Python,map two lists `keys` and `values` into a dictionary,"dict((k, v) for k, v in zip(keys, values))"
209840,Map two lists into a dictionary in Python,map two lists `keys` and `values` into a dictionary,"dict([(k, v) for k, v in zip(keys, values)])"
8569201,Get the string within brackets in Python,find the string matches within parenthesis from a string `s` using regex,"m = re.search('\\[(\\w+)\\]', s)"
12362542,"Python server ""Only one usage of each socket address is normally permitted""",Enable the SO_REUSEADDR socket option in socket object `s` to fix the error `only one usage of each socket address is normally permitted`,"s.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)"
11703064,How do i add two lists' elements into one list?,append the sum of each tuple pair in the grouped list `list1` and list `list2` elements to list `list3`,"list3 = [(a + b) for a, b in zip(list1, list2)]"
7595148,Python - Converting Hex to INT/CHAR,converting hex string `s` to its integer representations,[ord(c) for c in s.decode('hex')]
16537636,How to sort in decreasing value first then increasing in second value,sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
3925465,Repeating elements in list comprehension,get list of duplicated elements in range of 3,"[y for x in range(3) for y in [x, x]]"
3278850,"Doc, rtf and txt reader in python",read the contents of the file 'file.txt' into `txt`,txt = open('file.txt').read()
8244915,How do you divide each element in a list by an int?,divide each element in list `myList` by integer `myInt`,myList[:] = [(x / myInt) for x in myList]
7934620,python: dots in the name of variable in a format string,,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})"
42462530,How to replace the white space in a string in a pandas dataframe?,replace white spaces in dataframe `df` with '_',"df.replace(' ', '_', regex=True)"
15661013,Python: most efficient way to convert date to datetime,convert date `my_date` to datetime,"datetime.datetime.combine(my_date, datetime.time.min)"
3886669,Tuple to string,convert tuple `tst` to string `tst2`,tst2 = str(tst)
237079,get file creation & modification date/times in,get modified time of file `file`,time.ctime(os.path.getmtime(file))
237079,get file creation & modification date/times in,get creation time of file `file`,time.ctime(os.path.getctime(file))
237079,get file creation & modification date/times in,get modification time of file `filename`,t = os.path.getmtime(filename)
237079,get file creation & modification date/times in,get modification time of file `path`,os.path.getmtime(path)
237079,get file creation & modification date/times in,get modified time of file `file`,print(('last modified: %s' % time.ctime(os.path.getmtime(file))))
237079,get file creation & modification date/times in,get the creation time of file `file`,print(('created: %s' % time.ctime(os.path.getctime(file))))
237079,get file creation & modification date/times in,get the creation time of file `path_to_file`,return os.path.getctime(path_to_file)
5625524,How to Close a program using python?,execute os command ''TASKKILL /F /IM firefox.exe'',os.system('TASKKILL /F /IM firefox.exe')
3862010,Is there a generator version of `string.split()` in Python?,split string `string` on whitespaces using a generator,"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))"
7568627,Using Python String Formatting with Lists,Unpack each value in list `x` to its placeholder '%' in string '%.2f',""""""", """""".join(['%.2f'] * len(x))"
9891814,How to use regex with optional characters in python?,match regex pattern '(\\d+(\\.\\d+)?)' with string '3434.35353',"print(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))"
20894525,How to remove parentheses and all data within using Pandas/Python?,replace parentheses and all data within it with empty string '' in column 'name' of dataframe `df`,"df['name'].str.replace('\\(.*\\)', '')"
18448469,Python: filter list of list with another list,create a list `result` containing elements form list `list_a` if first element of list `list_a` is in list `list_b`,result = [x for x in list_a if x[0] in list_b]
4059550,Generate all possible strings from a list of token,"generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`","print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])"
6889785,python how to search an item in a nested list,get a list of items form nested list `li` where third element of each item contains string 'ar',[x for x in li if 'ar' in x[2]]
17555218,Python - How to sort a list of lists by the fourth element in each list?,Sort lists in the list `unsorted_list` by the element at index 3 of each list,unsorted_list.sort(key=lambda x: x[3])
18292500,Python logging typeerror,Log message 'test' on the root logger.,logging.info('test')
1358977,How to make several plots on a single page using matplotlib?,"Return a subplot axes positioned by the grid definition `1,1,1` using matpotlib","fig.add_subplot(1, 1, 1)"
613183,Sort a Python dictionary by value,Sort dictionary `x` by value in ascending order,"sorted(list(x.items()), key=operator.itemgetter(1))"
613183,Sort a Python dictionary by value,Sort dictionary `dict1` by value in ascending order,"sorted(dict1, key=dict1.get)"
613183,Sort a Python dictionary by value,Sort dictionary `d` by value in descending order,"sorted(d, key=d.get, reverse=True)"
613183,Sort a Python dictionary by value,Sort dictionary `d` by value in ascending order,"sorted(list(d.items()), key=(lambda x: x[1]))"
31957364,Numpy elementwise product of 3d array,elementwise product of 3d arrays `A` and `B`,"np.einsum('ijk,ikl->ijl', A, B)"
14041791,print variable and a string in python,Print a string `card` with string formatting,print('I have: {0.price}'.format(card))
30994370,How can I add a comment to a YAML file in Python,Write a comment `# Data for Class A\n` to a file object `f`,f.write('# Data for Class A\n')
6490560,How do I move the last item in a list to the front in python?,move the last item in list `a` to the beginning,a = a[-1:] + a[:-1]
40173569,python - convert datetime to varchar/string,Parse DateTime object `datetimevariable` using format '%Y-%m-%d',datetimevariable.strftime('%Y-%m-%d')
1749466,What's the most pythonic way of normalizing lineends in a string?,Normalize line ends in a string 'mixed',"mixed.replace('\r\n', '\n').replace('\r', '\n')"
2668909,How to find the real user home directory using python?,find the real user home directory using python,os.path.expanduser('~user')
1012185,"In Python, how do I index a list with another list?",index a list `L` with another list `Idx`,T = [L[i] for i in Idx]
7745260,Iterate through words of a file in Python,get a list of words `words` of a file 'myfile',words = open('myfile').read().split()
37619348,Summing 2nd list items in a list of lists of lists,Get a list of lists with summing the values of the second element from each list of lists `data`,[[sum([x[1] for x in i])] for i in data]
37619348,Summing 2nd list items in a list of lists of lists,summing the second item in a list of lists of lists,[sum([x[1] for x in i]) for i in data]
35097130,Django order by highest number of likes,sort objects in `Articles` in descending order of counts of `likes`,Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')
27587127,How to convert datetime.date.today() to UTC time?,return a DateTime object with the current UTC date,today = datetime.datetime.utcnow().date()
10271484,How to perform element-wise multiplication of two lists in Python?,create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`,"[(a * b) for a, b in zip(lista, listb)]"
14571103,Capturing emoticons using regular expression in python,fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)"
14571103,Capturing emoticons using regular expression in python,match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)"
26033239,List of objects to JSON with Python,convert a list of objects `list_name` to json string `json_string`,json_string = json.dumps([ob.__dict__ for ob in list_name])
8528178,List of zeros in python,create a list `listofzeros` of `n` zeros,listofzeros = [0] * n
4182603,python: how to convert a string to utf-8,decode the string 'stringnamehere'  to UTF-8,"stringnamehere.decode('utf-8', 'ignore')"
11985628,Python regex - Ignore parenthesis as indexing?,Match regex pattern '((?:A|B|C)D)' on string 'BDE',"re.findall('((?:A|B|C)D)', 'BDE')"
12905999,Python dict how to create key or append an element to key?,Create a key `key` if it does not exist in dict `dic` and append element `value` to value.,"dic.setdefault(key, []).append(value)"
14956683,Finding the minimum value in a numpy array and the corresponding values for the rest of that array's row,Get the value of the minimum element in the second column of array `a`,"a[np.argmin(a[:, (1)])]"
577234,"Python ""extend"" for a dictionary",extend dictionary `a` with key/value pairs of dictionary `b`,a.update(b)
13254241,Removing key values pairs from a list of dictionaries,removing key values pairs with key 'mykey1' from a list of dictionaries `mylist`,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
13254241,Removing key values pairs from a list of dictionaries,,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]"
15451958,Simple way to create matrix of random numbers,create 3 by 3 matrix of random numbers,"numpy.random.random((3, 3))"
34023918,Make new column in Panda dataframe by adding values from other columns,make new column 'C' in panda dataframe by adding values from other columns 'A' and 'B',df['C'] = df['A'] + df['B']
10484261,Find dictionary items whose key matches a substring,create a list of values from the dictionary `programs` that have a key with a case insensitive match to 'new york',"[value for key, value in list(programs.items()) if 'new york' in key.lower()]"
9153527,"Import module in another directory from a ""parallel"" sub-directory",append a path `/path/to/main_folder` in system path,sys.path.append('/path/to/main_folder')
34338341,Regex for getting all digits in a string after a character,get all digits in a string `s` after a '[' character,"re.findall('\\d+(?=[^[]+$)', s)"
18229082,Python pickle/unpickle a list to/from a file,python pickle/unpickle a list to/from a file 'afile',"pickle.load(open('afile', 'rb'))"
17498027,Clicking a link using selenium using python,,driver.find_element_by_xpath('xpath').click()
35178812,Counting unique index values in Pandas groupby,count unique index values in column 'A' in pandas dataframe `ex`,ex.groupby(level='A').agg(lambda x: x.index.get_level_values(1).nunique())
15455388,Dict of dicts of dicts to DataFrame,Create a pandas dataframe of values from a dictionary `d` which contains dictionaries of dictionaries,"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)"
14914615,"In Python, find out number of differences between two ordered lists",find out the number of non-matched elements at the same index of list `a` and list `b`,"sum(1 for i, j in zip(a, b) if i != j)"
21833383,When the key is a tuple in dictionary in Python,make all keys lowercase in dictionary `d`,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}"
19643099,Sorting a list of tuples with multiple conditions,sort list `list_` based on first element of each tuple and by the length of the second element of each tuple,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])"
1185524,trim whitespace,trim whitespace in string `s`,s.strip()
1185524,trim whitespace (including tabs),trim whitespace (including tabs) in `s` on the left side,s = s.lstrip()
1185524,trim whitespace (including tabs),trim whitespace (including tabs) in `s` on the right side,s = s.rstrip()
1185524,trim whitespace (including tabs),trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r')
1185524,trim whitespace (including tabs),trim whitespaces (including tabs) in string `s`,"print(re.sub('[\\s+]', '', s))"
1516795,"In Django, how do I filter based on all entities in a many-to-many relation instead of any?","In Django, filter `Task.objects` based on all entities in ['A', 'P', 'F']","Task.objects.exclude(prerequisites__status__in=['A', 'P', 'F'])"
2744795,Background color for Tk in Python,Change background color in Tkinter,root.configure(background='black')
15579649,python dict to numpy structured array,convert dict `result` to numpy structured array,"numpy.array([(key, val) for key, val in result.items()], dtype)"
41192805,Pandas - Sorting By Column,Concatenate dataframe `df_1` to dataframe `df_2` sorted by values of the column 'y',"pd.concat([df_1, df_2.sort_values('y')])"
2556108,rreplace - How to replace the last occurence of an expression in a string?,replace the last occurence of an expression '</div>' with '</bad>' in a string `s`,"re.sub('(.*)</div>', '\\1</bad>', s)"
42211584,How do I compare values in a dictionary?,get the maximum of 'salary' and 'bonus' values in a dictionary,"print(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))"
5301996,How to do many-to-many Django query to find book with 2 given authors?,Filter Django objects by `author` with ids `1` and `2`,Book.objects.filter(author__id=1).filter(author__id=2)
8993904,Python regex split case insensitive in 2.6,split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')"
40498088,"List comprehension - converting strings in one list, to integers in another",get list of sums of neighboring integers in string `example`,"[sum(map(int, s)) for s in example.split()]"
1920145,How to find duplicate elements in array using for loop in Python?,Get all the keys from dictionary `y` whose value is `1`,[i for i in y if y[i] == 1]
13837848,Converting byte string in unicode string,converting byte string `c` in unicode string,c.decode('unicode_escape')
23354124,"How can I ""unpivot"" specific columns from a pandas DataFrame?",unpivot first 2 columns into new columns 'year' and 'value' from a pandas dataframe `x`,"pd.melt(x, id_vars=['farm', 'fruit'], var_name='year', value_name='value')"
6416131,add new item to dictionary,"add key ""item3"" and value ""3"" to dictionary `default_data `",default_data['item3'] = 3
6416131,add new item to dictionary,"add key ""item3"" and value ""3"" to dictionary `default_data `","default_data.update({'item3': 3, })"
6416131,add new item to dictionary,"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })"
40016359,Index the first and the last n elements of a list,Get the first and last 3 elements of list `l`,l[:3] + l[-3:]
20490274,How to reset index in a pandas data frame?,reset index to default in dataframe `df`,df = df.reset_index(drop=True)
18872717,Merging a list with a list of lists,"For each index `x` from 0 to 3, append the element at index `x` of list `b` to the list at index `x` of list a.",[a[x].append(b[x]) for x in range(3)]
3220755,how to find the target file's full(absolute path) of the symbolic link or soft link in python,get canonical path of the filename `path`,os.path.realpath(path)
18170459,How to check if a dictionary is in another dictionary in python,check if dictionary `L[0].f.items()` is in dictionary `a3.f.items()`,set(L[0].f.items()).issubset(set(a3.f.items()))
27175400,How to find the index of a value in 2d array in Python?,find all the indexes in a Numpy 2D array where the value is 1,zip(*np.where(a == 1))
27175400,How to find the index of a value in 2d array in Python?,,np.where(a == 1)
14507794,Python Pandas - How to flatten a hierarchical index in columns,Collapse hierarchical column index to level 0 in dataframe `df`,df.columns = df.columns.get_level_values(0)
4690366,Creating a list from a Scipy matrix,"create a matrix from a list `[1, 2, 3]`","x = scipy.matrix([1, 2, 3]).transpose()"
20735384,Regex Python adding characters after a certain word,add character '@' after word 'get' in string `text`,"text = re.sub('(\\bget\\b)', '\\1@', text)"
39277638,Element-wise minimum of multiple vectors in numpy,get a numpy array that contains the element wise minimum of three 3x1 arrays,"np.array([np.arange(3), np.arange(2, -1, -1), np.ones((3,))]).min(axis=0)"
12168648,Pandas (python): How to add column to dataframe for index?,add a column 'new_col' to dataframe `df` for index in range,"df['new_col'] = list(range(1, len(df) + 1))"
5971312,How to set environment variables in Python,set environment variable 'DEBUSSY' equal to 1,os.environ['DEBUSSY'] = '1'
5971312,How to set environment variables in Python,Get a environment variable `DEBUSSY`,print(os.environ['DEBUSSY'])
12717716,Python: updating a large dictionary using another large dictionary,"update dictionary `b`, overwriting values where keys are identical, with contents of dictionary `d`",b.update(d)
17193850,How to get column by number in Pandas?,get all the values in column `b` from pandas data frame `df`,df['b']
13395888,How can I get the color of the last figure in matplotlib?,"make a line plot with errorbars, `ebar`, from data `x, y, err` and set color of the errorbars to `y` (yellow)","ebar = plt.errorbar(x, y, yerr=err, ecolor='y')"
3608411,Python: How can I find all files with a particular extension?,find all files with extension '.c' in directory `folder`,results += [each for each in os.listdir(folder) if each.endswith('.c')]
31771758,"Concatenating Unicode with string: print '£' + '1' works, but print '£' + u'1' throws UnicodeDecodeError",add unicode string '1' to UTF-8 decoded string '\xc2\xa3',print('\xc2\xa3'.decode('utf8') + '1')
39414085,How to convert the following string in python?,lower-case the string obtained by replacing the occurrences of regex pattern '(?<=[a-z])([A-Z])' in string `s` with eplacement '-\\1',"re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()"
5061582,Setting stacksize in a python script,,os.system('ulimit -s unlimited; some_executable')
2389846,Python Decimals format,format a string `num` using string formatting,"""""""{0:.3g}"""""".format(num)"
7332841,Add single element to array in numpy,append the first element of array `a` to array `a`,"numpy.append(a, a[0])"
38331568,Return the column name(s) for a specific value in a pandas dataframe,return the column for value 38.15 in dataframe `df`,"df.ix[:, (df.loc[0] == 38.15)].columns"
41463763,Merge 2 dataframes with same values in a column,merge 2 dataframes `df1` and `df2` with same values in a column 'revenue' with and index 'date',df2['revenue'] = df2.CET.map(df1.set_index('date')['revenue'])
23970693,How To Format a JSON Text In Python?,load a json data `json_string` into variable `json_data`,json_data = json.loads(json_string)
9875964,Python: converting radians to degrees,convert radians 1 to degrees,math.cos(math.radians(1))
25355705,count how many of an object type there are in a list Python,count the number of integers in list `a`,"sum(isinstance(x, int) for x in a)"
31522361,Python: Getting rid of \u200b from a string using regular expressions,replacing  '\u200b' with '*' in a string  using regular expressions,"'used\u200b'.replace('\u200b', '*')"
2108126,How to run two functions simultaneously,run function 'SudsMove' simultaneously,threading.Thread(target=SudsMove).start()
26894227,sum of squares in a list in one line?,sum of squares values in a list `l`,sum(i * i for i in l)
26894227,sum of squares in a list in one line?,calculate the sum of the squares of each value in list `l`,"sum(map(lambda x: x * x, l))"
1747817,Create a dictionary with list comprehension,Create a dictionary `d` from list `iterable`,"d = dict(((key, value) for (key, value) in iterable))"
1747817,Create a dictionary with list comprehension,Create a dictionary `d` from list `iterable`,"d = {key: value for (key, value) in iterable}"
1747817,Create a dictionary with list comprehension,Create a dictionary `d` from list of key value pairs `iterable`,"d = {k: v for (k, v) in iterable}"
19100540,Rounding entries in a Pandas DafaFrame,"round off entries in dataframe `df` column `Alabama_exp` to two decimal places, and entries in column `Credit_exp` to three decimal places","df.round({'Alabama_exp': 2, 'Credit_exp': 3})"
7668141,Pycurl keeps printing in terminal,Make function `WRITEFUNCTION` output nothing in curl `p`,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
1456617,Return a random word from a word list in python,return a random word from a word list 'words',print(random.choice(words))
12829889,Find Max in Nested Dictionary,Find a max value of the key `count` in a nested dictionary `d`,"max(d, key=lambda x: d[x]['count'])"
2606976,How to replace empty string with zero in comma-separated string?,"get list of string elements in string `data` delimited by commas, putting `0` in place of empty strings","[(int(x) if x else 0) for x in data.split(',')]"
2606976,How to replace empty string with zero in comma-separated string?,"split string `s` into a list of strings based on ',' then replace empty strings with zero",""""""","""""".join(x or '0' for x in s.split(','))"
940822,"Regular expression syntax for ""match nothing""?",regular expression match nothing,re.compile('$^')
940822,"Regular expression syntax for ""match nothing""?",regular expression syntax for not to match anything,re.compile('.\\A|.\\A*|.\\A+')
940822,"Regular expression syntax for ""match nothing""?",create a regular expression object with a pattern that will match nothing,re.compile('a^')
26897536,Python Pandas drop columns based on max value of column,drop all columns in dataframe `df` that holds a maximum value bigger than 0,df.columns[df.max() > 0]
6407362,How can I check if a date is the same day as datetime.today()?,check if date `yourdatetime` is equal to today's date,yourdatetime.date() == datetime.today().date()
8924173,How do I print bold text in Python?,print bold text 'Hello',print('\x1b[1m' + 'Hello')
4358701,Renaming multiple files in python,remove 20 symbols in front of '.' in string 'unique12345678901234567890.mkv',"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')"
17589590,Can I get a list of the variables that reference an other in Python 2.7?,"Define a list with string values `['a', 'c', 'b', 'obj']`","['a', 'c', 'b', 'obj']"
2077897,Substitute multiple whitespace with single whitespace in Python,substitute multiple whitespace with single whitespace in string `mystring`,""""""" """""".join(mystring.split())"
20048987,How to print floating point numbers as it is without any truncation in python?,print a floating point number 2.345e-67 without any truncation,print('{:.100f}'.format(2.345e-67))
1602934,Check if a given key already exists in a dictionary,Check if key 'key1' in `dict`,('key1' in dict)
1602934,Check if a given key already exists in a dictionary,Check if key 'a' in `d`,('a' in d)
1602934,Check if a given key already exists in a dictionary,Check if key 'c' in `d`,('c' in d)
1602934,Check if a given key already exists in a dictionary,Check if a given key 'key1' exists in dictionary `dict`,"if ('key1' in dict):
    pass"
1602934,Check if a given key already exists in a dictionary,Check if a given key `key` exists in dictionary `d`,"if (key in d):
    pass"
9304908,django filter with list of values,"create a django query for a list of values `1, 4, 7`","Blog.objects.filter(pk__in=[1, 4, 7])"
2497027,read a binary file (python),read a binary file 'test/test.pdf',"f = open('test/test.pdf', 'rb')"
17484631,Format string - spaces between every three digit,"insert ' ' between every three digit before '.' and replace ',' with '.' in 12345678.46","format(12345678.46, ',').replace(',', ' ').replace('.', ',')"
20375561,Joining pandas dataframes by column names,Join pandas data frame `frame_1` and `frame_2` with left join by `county_ID` and right join by `countyid`,"pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')"
38708621,How to calculate percentage of sparsity for a numpy array/matrix?,calculate ratio of sparsity in a numpy array `a`,np.isnan(a).sum() / np.prod(a.shape)
10194713,Sorting a defaultdict by value in python,reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)"
10194713,Sorting a defaultdict by value in python,Sort dictionary `u` in ascending order based on second elements of its values,"sorted(list(u.items()), key=lambda v: v[1])"
10194713,Sorting a defaultdict by value in python,reverse sort dictionary `d` based on its values,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)"
10194713,Sorting a defaultdict by value in python,sorting a defaultdict `d` by value,"sorted(list(d.items()), key=lambda k_v: k_v[1])"
4060221,How to reliably open a file in the same directory as a Python script,open a file 'bundled-resource.jpg' in the same directory as a python script,"f = open(os.path.join(__location__, 'bundled-resource.jpg'))"
13954840,How do I convert LF to CRLF?,open the file 'words.txt' in 'rU' mode,"f = open('words.txt', 'rU')"
11840111,Divide the values of two dictionaries in python,divide the values with same keys of two dictionary `d1` and `d2`,{k: (float(d2[k]) / d1[k]) for k in d2}
11840111,Divide the values of two dictionaries in python,divide the value for each key `k` in dict `d2` by the value for the same key `k` in dict `d1`,{k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2}
11840111,Divide the values of two dictionaries in python,divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)"
13999850,How to specify date format when using pandas.to_csv?,write dataframe `df` to csv file `filename` with dates formatted as yearmonthday  `%Y%m%d`,"df.to_csv(filename, date_format='%Y%m%d')"
11277432,How to remove a key from a python dictionary?,remove a key 'key' from a dictionary `my_dict`,"my_dict.pop('key', None)"
1800187,replace values in an array,replace NaN values in array `a` with zeros,"b = np.where(np.isnan(a), 0, a)"
9554544,"Python, running command line tools in parallel",subprocess run command 'start command -flags arguments' through the shell,"subprocess.call('start command -flags arguments', shell=True)"
9554544,"Python, running command line tools in parallel",run command 'command -flags arguments &' on command line tools as separate processes,"subprocess.call('command -flags arguments &', shell=True)"
12527959,Passing the '+' character in a POST request in Python,replace percent-encoded code in request `f` to their single-character equivalent,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
2372573,How do I remove whitespace from the end of a string in Python?,"remove white spaces from the end of string ""    xyz     ""","""""""    xyz     """""".rstrip()"
8905864,URL encoding in python,Replace special characters in utf-8 encoded string `s` using the %xx escape,urllib.parse.quote(s.encode('utf-8'))
8905864,URL encoding in python,,urllib.parse.quote_plus('a b')
28207743,Convert string to numpy array,Create an array containing the conversion of string '100110' into separate elements,"np.array(map(int, '100110'))"
28207743,Convert string to numpy array,convert a string 'mystr' to numpy array of integer values,"print(np.array(list(mystr), dtype=int))"
12201577,How can I convert an RGB image into grayscale in Python?,convert an rgb image 'messi5.jpg' into grayscale `img`,"img = cv2.imread('messi5.jpg', 0)"
11584773,sorting a graph by its edge weight. python,sort list `lst` in descending order based on the second item of each tuple in it,"lst.sort(key=lambda x: x[2], reverse=True)"
6294179,How to find all occurrences of an element in a list?,,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']"
18050937,How can I execute shell command with a | pipe in it,execute shell command 'grep -r PASSED *.log | sort -u | wc -l' with a | pipe in it,"subprocess.call('grep -r PASSED *.log | sort -u | wc -l', shell=True)"
42178481,How to count the number of a specific character at the end of a string ignoring duplicates?,count the number of trailing question marks in string `my_text`,len(my_text) - len(my_text.rstrip('?'))
